Date,Cotton
2016-03-07,58.92
2016-03-08,58.21
2016-03-09,56.59
2016-03-10,56.83
2016-03-11,57.15
2016-03-12,57.52
2016-03-13,57.89
2016-03-14,58.29
2016-03-15,58.24
2016-03-16,58.32
2016-03-17,58.36
2016-03-18,57.16
2016-03-19,57.57
2016-03-20,57.87
2016-03-21,58.17
2016-03-22,58.37
2016-03-23,58.39
2016-03-24,57.72
2016-03-25,57.77
2016-03-26,57.77
2016-03-27,57.77
2016-03-28,57.8
2016-03-29,57.38
2016-03-30,57.67
2016-03-31,58.44
2016-04-01,59.2
2016-04-02,59.07
2016-04-03,59.02
2016-04-04,58.96
2016-04-05,58.9
2016-04-06,58.75
2016-04-07,59.03
2016-04-08,60.07
2016-04-09,60.26
2016-04-10,60.5
2016-04-11,60.71
2016-04-12,61.51
2016-04-13,61.63
2016-04-14,60.64
2016-04-15,60.03
2016-04-16,60.81
2016-04-17,61.47
2016-04-18,62.15
2016-04-19,62.69
2016-04-20,63.8
2016-04-21,63.49
2016-04-22,63.08
2016-04-23,63.65
2016-04-24,64.14
2016-04-25,64.77
2016-04-26,63.46
2016-04-27,64.07
2016-04-28,63.69
2016-04-29,63.76
2016-04-30,63.93
2016-05-01,64.08
2016-05-02,64.36
2016-05-03,63.05
2016-05-04,62.17
2016-05-05,61.63
2016-05-06,61.63
2016-05-07,61.52
2016-05-08,61.41
2016-05-09,61.33
2016-05-10,60.9
2016-05-11,60.6
2016-05-12,60.73
2016-05-13,60.62
2016-05-14,60.78
2016-05-15,60.93
2016-05-16,60.99
2016-05-17,62.2
2016-05-18,62.05
2016-05-19,61.07
2016-05-20,61.67
2016-05-21,61.61
2016-05-22,61.59
2016-05-23,61.45
2016-05-24,63.01
2016-05-25,62.9
2016-05-26,64.33
2016-05-27,64.28
2016-05-28,64.17
2016-05-29,64.08
2016-05-30,63.98
2016-05-31,63.94
2016-06-01,63.17
2016-06-02,62.87
2016-06-03,63.92
2016-06-04,64.43
2016-06-05,64.98
2016-06-06,65.55
2016-06-07,65.85
2016-06-08,65.78
2016-06-09,64.96
2016-06-10,64.75
2016-06-11,64.42
2016-06-12,64.09
2016-06-13,63.79
2016-06-14,63.04
2016-06-15,62.6
2016-06-16,63.3
2016-06-17,64.57
2016-06-18,64.4
2016-06-19,64.34
2016-06-20,64.39
2016-06-21,62.85
2016-06-22,62.94
